match_id,date,competition,club,opponent,player_id,player,role,position,minutes,started,result,goals,assists,xg,xa,shots,passes,completed_passes,progressive_passes,final_third_entries,pressures,recoveries,interceptions,tackles,carries,progressive_carries,risk_passes,reward_passes
3829413,2015-08-07,Ligue 1,Paris Saint-Germain,Lille,3026,Adrien Rabiot,MID,Center Defensive Midfield,26.97,1,W,0.0,0.0,0.0492,0,1.0,27.0,24.0,5.0,0.0,6.0,2.0,0,3.0,25.0,0.0,0.0,5.0
3829413,2015-08-07,Ligue 1,Paris Saint-Germain,Lille,3166,Marco Verratti,MID,Right Center Midfield,72.68,1,W,0,0.0,0,0,0,68.0,61.0,5.0,3.0,18.0,6.0,1.0,4.0,50.0,0.0,5.0,5.0
3829413,2015-08-07,Ligue 1,Paris Saint-Germain,Lille,3295,Thiago Emiliano da Silva,DEF,Right Center Back,95.12,1,W,0,0.0,0,0,0,44.0,41.0,7.0,5.0,2.0,2.0,2.0,1.0,29.0,0.0,1.0,7.0
3829413,2015-08-07,Ligue 1,Paris Saint-Germain,Lille,3481,Serge Aurier,DEF,Right Back,95.12,1,W,0,0.0,0,0,0,34.0,22.0,2.0,2.0,17.0,6.0,1.0,4.0,21.0,2.0,1.0,2.0
3829413,2015-08-07,Ligue 1,Paris Saint-Germain,Lille,3745,Lucas Rodrigues Moura da Silva,FWD,Left Wing,88.1,1,W,1.0,0.0,1.0378,0.0492,2.0,28.0,18.0,5.0,4.0,4.0,7.0,0,2.0,30.0,2.0,6.0,6.0
3829413,2015-08-07,Ligue 1,Paris Saint-Germain,Lille,3956,David Luiz Moreira Marinho,DEF,Left Center Back,95.12,1,W,0,0.0,0,0,0,42.0,39.0,5.0,4.0,10.0,2.0,3.0,2.0,38.0,1.0,1.0,5.0
3829413,2015-08-07,Ligue 1,Paris Saint-Germain,Lille,4319,Edinson Roberto Cavani Gómez,FWD,Center Forward,95.12,1,W,0.0,0.0,0.2646,0,2.0,29.0,24.0,2.0,1.0,12.0,3.0,0,1.0,21.0,1.0,0.0,2.0
3829413,2015-08-07,Ligue 1,Paris Saint-Germain,Lille,4325,Thiago Motta,FWD,Right Wing,50.12,0,W,0,0.0,0,0,0,34.0,31.0,5.0,2.0,11.0,1.0,0,1.0,25.0,0.0,4.0,5.0
3829413,2015-08-07,Ligue 1,Paris Saint-Germain,Lille,4370,Javier Matías Pastore,FWD,Right Wing,45.0,1,W,0.0,0.0,0.0636,0,1.0,28.0,17.0,3.0,1.0,6.0,2.0,0,2.0,23.0,1.0,4.0,3.0
3829413,2015-08-07,Ligue 1,Paris Saint-Germain,Lille,4375,Blaise Matuidi,MID,Left Center Midfield,95.12,1,W,0,1.0,0,1.0277,0,39.0,35.0,5.0,5.0,13.0,5.0,2.0,0,36.0,3.0,5.0,5.0
3829413,2015-08-07,Ligue 1,Paris Saint-Germain,Lille,4440,Kevin Trapp,GK,Goalkeeper,95.12,1,W,0,0.0,0,0,0,19.0,8.0,3.0,0.0,0,2.0,0,0,4.0,0.0,0.0,3.0
