sample_player,second,x_m,y_m,distance_step_m
Sample player 6,0.0,17.85,5.52,0.0
Sample player 5,0.0,16.78,-3.67,0.0
Sample player 2,0.0,17.03,14.69,0.0
Sample player 4,0.0,17.55,-13.6,0.0
Sample player 3,0.0,0.4,-8.28,0.0
Sample player 1,0.0,2.67,9.94,0.0
Sample player 6,2.0,17.79,4.78,0.74
Sample player 5,2.0,17.56,-3.62,0.78
Sample player 2,2.0,16.37,14.1,0.89
Sample player 4,2.0,17.52,-14.27,0.67
Sample player 3,2.0,-0.52,-7.85,1.02
Sample player 1,2.0,1.59,9.3,1.26
Sample player 6,4.0,16.73,3.6,1.59
Sample player 5,4.0,18.31,-5.28,1.82
Sample player 2,4.0,14.68,13.85,1.71
Sample player 4,4.0,16.94,-16.34,2.15
Sample player 3,4.0,-9.85,-2.33,10.84
Sample player 1,4.0,-6.1,9.59,7.7
Sample player 6,6.0,18.9,5.55,2.92
Sample player 5,6.0,18.54,-3.2,2.09
Sample player 2,6.0,17.47,16.13,3.6
Sample player 4,6.0,16.0,-14.8,1.8
Sample player 3,6.0,-16.42,5.24,10.02
Sample player 1,6.0,-15.67,11.56,9.77
Sample player 6,8.0,19.22,12.04,6.5
Sample player 5,8.0,17.3,3.41,6.73
Sample player 2,8.0,15.28,22.18,6.43
Sample player 4,8.0,16.48,-8.4,6.42
Sample player 3,8.0,-11.05,11.02,7.89
Sample player 1,8.0,-10.46,22.51,12.13
Sample player 5,10.0,25.49,8.05,9.41
Sample player 2,10.0,19.57,22.45,4.3
Sample player 4,10.0,23.95,-4.11,8.61
Sample player 3,10.0,-3.24,12.42,7.93
Sample player 1,10.0,-3.74,24.68,7.06
Sample player 6,12.0,26.08,16.07,7.96
Sample player 5,12.0,29.86,8.36,4.38
Sample player 2,12.0,24.33,17.25,7.05
Sample player 4,12.0,28.59,-1.29,5.43
Sample player 3,12.0,4.39,11.12,7.74
Sample player 1,12.0,-1.5,21.52,3.87
Sample player 6,14.0,25.58,14.78,1.38
Sample player 5,14.0,28.59,5.37,3.25
Sample player 2,14.0,21.99,18.01,2.46
Sample player 4,14.0,25.78,-4.62,4.36
Sample player 3,14.0,7.11,12.6,3.1
Sample player 6,20.0,25.5,11.49,3.29
Sample player 5,20.0,26.98,-8.41,13.87
Sample player 2,20.0,12.85,22.52,10.19
Sample player 4,20.0,14.58,-24.9,23.17
Sample player 6,22.0,24.98,6.64,4.88
Sample player 5,22.0,22.91,-14.14,7.03
Sample player 2,22.0,12.51,20.12,2.42
Sample player 4,22.0,10.74,-30.62,6.89
Sample player 6,24.0,23.77,2.16,4.64
Sample player 5,24.0,25.03,-19.19,5.48
Sample player 2,24.0,11.93,17.79,2.4
Sample player 4,24.0,9.15,-32.29,2.31
Sample player 3,26.0,-9.85,-14.25,31.76
Sample player 1,26.0,-16.11,-0.88,26.74
Sample player 3,28.0,-21.85,-16.37,12.19
Sample player 1,28.0,-25.22,-2.52,9.26
Sample player 3,30.0,-29.43,-21.95,9.41
Sample player 1,30.0,-32.0,-5.06,7.24
Sample player 4,32.0,-17.78,-28.95,27.14
Sample player 3,32.0,-29.16,-22.59,0.69
Sample player 1,32.0,-39.34,-2.88,7.66
Sample player 4,34.0,-22.77,-27.33,5.25
Sample player 3,34.0,-28.73,-23.16,0.71
Sample player 1,34.0,-38.42,-3.94,1.4
Sample player 3,36.0,-30.89,-19.02,4.67
Sample player 1,36.0,-42.98,-3.59,4.57
Sample player 3,38.0,-30.94,-13.95,5.07
Sample player 1,38.0,-40.28,0.22,4.67
Sample player 3,40.0,-30.99,-9.62,4.33
Sample player 1,40.0,-36.33,3.02,4.84
Sample player 3,42.0,-32.15,-6.98,2.88
Sample player 1,42.0,-33.81,4.22,2.79
Sample player 3,44.0,-32.62,-2.89,4.12
Sample player 1,44.0,-34.26,8.52,4.32
Sample player 3,46.0,-33.67,-0.19,2.9
Sample player 1,46.0,-34.69,11.15,2.66
Sample player 3,48.0,-34.43,-1.61,1.61
Sample player 1,48.0,-36.23,11.09,1.54
Sample player 3,50.0,-32.99,-0.1,2.09
Sample player 1,50.0,-38.27,16.06,5.37
Sample player 5,52.0,7.25,10.4,34.52
Sample player 2,52.0,-0.15,24.36,13.75
Sample player 4,52.0,2.18,-4.46,33.85
Sample player 6,54.0,5.41,21.37,26.57
Sample player 5,54.0,8.4,9.59,1.41
Sample player 2,54.0,1.07,24.2,1.23
Sample player 4,54.0,4.65,-2.98,2.88
Sample player 3,54.0,-20.48,3.11,12.92
Sample player 1,54.0,-24.52,13.85,13.93
Sample player 6,56.0,5.22,19.73,1.65
Sample player 5,56.0,7.48,7.58,2.21
Sample player 2,56.0,-0.56,27.19,3.41
Sample player 4,56.0,2.34,-4.95,3.04
Sample player 3,56.0,-20.5,3.73,0.62
Sample player 1,56.0,-22.52,14.83,2.23
Sample player 6,58.0,11.08,21.91,6.25
Sample player 5,58.0,9.28,6.58,2.06
Sample player 2,58.0,5.63,31.43,7.5
Sample player 4,58.0,1.18,-8.93,4.15
Sample player 3,58.0,-19.78,5.54,1.95
Sample player 1,58.0,-21.03,15.91,1.84
Sample player 6,60.0,19.56,22.54,8.5
Sample player 5,60.0,15.3,3.88,6.6
Sample player 2,60.0,12.5,31.05,6.88
Sample player 4,60.0,3.4,-13.82,5.37
Sample player 6,62.0,25.83,23.3,6.32
Sample player 5,62.0,21.83,2.27,6.73
Sample player 2,62.0,17.86,34.99,6.65
Sample player 4,62.0,9.71,-15.19,6.46
Sample player 6,68.0,32.12,29.79,9.04
Sample player 5,68.0,29.55,6.9,9.0
Sample player 2,68.0,16.82,34.29,1.25
Sample player 4,68.0,19.58,-12.8,10.16
Sample player 6,70.0,31.33,30.95,1.4
Sample player 5,70.0,29.9,9.35,2.47
Sample player 2,70.0,16.6,34.22,0.23
Sample player 4,70.0,21.46,-11.08,2.55
Sample player 6,72.0,30.51,31.16,0.85
Sample player 5,72.0,29.15,11.51,2.29
Sample player 2,72.0,15.92,34.19,0.68
Sample player 4,72.0,21.56,-9.14,1.94
Sample player 3,72.0,0.27,23.64,27.01
Sample player 6,74.0,29.05,30.11,1.8
Sample player 5,74.0,27.0,11.97,2.2
Sample player 2,74.0,15.15,32.44,1.91
Sample player 4,74.0,20.16,-6.98,2.57
Sample player 3,74.0,4.17,25.62,4.37
Sample player 1,74.0,-3.4,14.66,17.67
Sample player 6,76.0,25.49,26.51,5.06
Sample player 5,76.0,24.64,10.38,2.85
Sample player 2,76.0,12.49,29.32,4.1
Sample player 4,76.0,15.96,-7.45,4.23
Sample player 3,76.0,7.28,25.05,3.16
Sample player 1,76.0,-6.7,15.65,3.45
Sample player 6,78.0,24.18,23.68,3.12
Sample player 5,78.0,23.84,6.84,3.63
Sample player 2,78.0,14.49,30.04,2.13
Sample player 4,78.0,13.13,-11.11,4.63
Sample player 3,78.0,13.0,22.35,6.33
Sample player 1,78.0,-6.89,14.99,0.69
Sample player 6,80.0,23.34,18.13,5.61
Sample player 5,80.0,25.16,0.27,6.7
Sample player 2,80.0,15.1,27.08,3.02
Sample player 4,80.0,13.47,-17.13,6.03
Sample player 3,80.0,12.53,15.71,6.66
Sample player 6,82.0,25.72,12.41,6.2
Sample player 5,82.0,28.1,-5.42,6.4
Sample player 4,82.0,20.16,-23.59,9.3
Sample player 6,84.0,30.42,6.49,7.56
Sample player 5,84.0,33.13,-9.4,6.41
Sample player 4,84.0,30.66,-29.13,11.87
Sample player 6,86.0,34.84,1.81,6.44
Sample player 5,86.0,36.32,-12.0,4.12
Sample player 2,86.0,28.47,10.15,21.57
Sample player 4,86.0,37.11,-27.49,6.66
Sample player 3,86.0,20.09,-9.44,26.26
Sample player 6,88.0,37.25,-0.75,3.52
Sample player 5,88.0,38.48,-12.35,2.19
Sample player 2,88.0,31.9,5.48,5.79
Sample player 4,88.0,39.07,-24.27,3.77
Sample player 3,88.0,22.86,-15.85,6.98
Sample player 6,90.0,38.5,-2.75,2.36
Sample player 5,90.0,39.98,-12.98,1.63
Sample player 2,90.0,34.03,2.58,3.6
Sample player 4,90.0,39.63,-21.27,3.05
Sample player 3,90.0,26.32,-18.13,4.14
Sample player 6,94.0,40.17,-5.98,3.64
Sample player 5,94.0,40.97,-13.95,1.39
Sample player 2,94.0,36.71,-1.34,4.75
Sample player 4,94.0,40.13,-21.31,0.5
Sample player 3,94.0,31.18,-20.55,5.43
Sample player 6,98.0,39.27,-7.93,2.15
Sample player 5,98.0,39.89,-14.21,1.11
Sample player 2,98.0,37.47,-3.47,2.26
Sample player 4,98.0,40.29,-23.39,2.09
Sample player 3,98.0,31.87,-25.8,5.3
Sample player 6,100.0,37.08,-8.04,2.19
Sample player 5,100.0,36.56,-15.06,3.44
Sample player 2,100.0,36.53,-2.2,1.58
Sample player 4,100.0,36.52,-25.14,4.16
Sample player 6,102.0,36.09,-7.82,1.01
Sample player 5,102.0,36.06,-16.25,1.29
Sample player 2,102.0,36.08,-2.39,0.49
Sample player 4,102.0,35.6,-26.78,1.88
Sample player 3,102.0,28.89,-28.77,4.21
Sample player 6,106.0,38.1,-7.71,2.01
Sample player 5,106.0,40.12,-18.6,4.69
Sample player 2,106.0,37.66,-2.1,1.61
Sample player 4,106.0,39.99,-22.82,5.91
Sample player 3,106.0,26.68,-25.01,4.36
Sample player 6,108.0,39.04,-8.17,1.05
Sample player 5,108.0,39.81,-16.32,2.3
Sample player 2,108.0,38.27,-1.73,0.71
Sample player 4,108.0,40.22,-22.79,0.23
Sample player 3,108.0,31.71,-26.22,5.17
Sample player 6,110.0,37.82,-7.89,1.25
Sample player 5,110.0,38.14,-13.92,2.92
Sample player 2,110.0,37.19,-1.27,1.17
Sample player 4,110.0,37.58,-22.18,2.71
Sample player 3,110.0,32.12,-27.01,0.89
Sample player 1,110.0,19.42,-24.1,47.12
Sample player 6,112.0,31.84,-6.07,6.25
Sample player 5,112.0,31.62,-12.08,6.77
Sample player 2,112.0,31.44,0.35,5.97
Sample player 4,112.0,31.74,-21.12,5.94
Sample player 3,112.0,25.13,-27.05,6.99
Sample player 1,112.0,10.85,-27.54,9.23
Sample player 6,114.0,25.7,-2.67,7.02
Sample player 5,114.0,25.16,-10.29,6.7
Sample player 2,114.0,26.29,5.06,6.98
Sample player 3,114.0,18.46,-22.1,8.31
Sample player 1,114.0,3.81,-21.04,9.58
Sample player 6,116.0,24.9,0.92,3.68
Sample player 5,116.0,24.36,-6.04,4.32
Sample player 2,116.0,25.16,10.2,5.26
Sample player 4,116.0,25.39,-15.62,8.4
Sample player 3,116.0,14.21,-15.6,7.77
Sample player 1,116.0,8.01,-10.25,11.58
